video_name,question_id,if_you_can_answer,your_answer,your_answer_2,your_answer_3,reason,scene_context,speaker's_information,facial_expression,motion,tone_of_voice,other_information,reference_time_start,reference_time_end
0X0H70JBnBM,q5,no,,,,"It is possible that he wrote about something different that was not her and thought it would hurt her if he told her that he should write about her, but a0 is not the answer because she already sensed that he wrote about something different.　Also, from 00:15, there is no such answer in this one, presumably because he tries to write devotedly to one thing and ends up going in a different direction.",1,,,,,,,
0XPNvEJ0Xx4,q1,yes,a3,,,"The younger man's question is answered as a secret, and he also reiterates his question to the younger man several times.",,,,,,,6,7
0XPNvEJ0Xx4,q2,yes,a3,,,"Whether he laughed or not is hard to determine from the script alone, since he has clearly stated that he no longer does such things.",,,,,,,32,34
0XPNvEJ0Xx4,q3,yes,a1,,,"He knows about The older man's past but has only just now learned about it and does not know his skills. However, the fact that he keeps asking questions shows that he is curious about the older man.",,,,,,,0,55
0XPNvEJ0Xx4,q4,yes,a1,,,"Because he clearly states that although he defeated Apollo, he was the \""perfect fighter\"".",,,,,,,44,45
0XPNvEJ0Xx4,q5,no,,,,"Because I do not know what the \""he\"" indicated in the sentence where he says he is closing his store represents.",1,,,,,,,
1a4Gx6UHdI8,q1,no,,,,"In the first place, it is unclear whether \""the man\"" refers to the person with whom the conversation is being held or to the person being discussed, Peter, in other words, which person is being referred to.",1,1,,,,,,
1a4Gx6UHdI8,q2,no,,,,"First, it is difficult to determine from the script alone which speaker is \""the woman with the polka dot scarf\"". Also, her emotion cannot be read from the script.",,1,1,,1,,,
1a4Gx6UHdI8,q3,yes,a3,,,"The man is spilling his mouth to Peter because she, in turn, understands Peter's situation and insists that it is unavoidable.",,,,,,,16,22
1a4Gx6UHdI8,q4,yes,a2,,,Because she has made it clear that they have nothing in common about the man Peter who is being discussed.,,,,,,,40,44
1a4Gx6UHdI8,q5,no,,,,"This is because although there are multiple references to cats, her feelings about them are not expressed in them.",,,1,,1,,,
1CjUHNYzW1E,q1,yes,a2,,,Because he describes Ezekiel's abilities in positive terms.,,,,,,,7,26
1CjUHNYzW1E,q2,yes,a0,,,"According to the older man, because he is firm and knows what he is doing.",,,,,,,14,20
1CjUHNYzW1E,q4,yes,a3,,,"Because the older man explicitly states that when he preaches, it is as if God is descending.",,,,,,,20,26
1CjUHNYzW1E,q5,no,,,,"Because this script is written entirely from the older man's point of view, it is impossible to know his feelings unless they are clearly expressed.",,,1,,1,,,
1dd_Xic3lLc,q1,no,,,,Because there is no external description of the speaker and it is impossible to judge.,,1,,,,,,
1dd_Xic3lLc,q2,no,,,,Because I cannot read her emotions by reading the relevant sentences or by looking at the context before and after.,,,1,,1,,,
1dd_Xic3lLc,q3,yes,a1,,,Because one speaker clearly stated that he preferred to listen to the other speaker's album when it came out.,,,,,,,31,39
1dd_Xic3lLc,q4,yes,a3,,,"Similar to the issue above, because one speaker clearly stated that he preferred to listen to the other speaker's album when it came out.",,,,,,,31,39
1dd_Xic3lLc,q5,yes,a3,,,"Certainly, her attitude is not explicitly stated on the script, since she answers all questions to her and responds to being spoken to, even if they are not questions.",,,,,,,10,59
1eNRgAiXWD0,q1,no,,,,"I don't know if he actually raised his eyebrows in the first place, because we don't see her appearance, her cooking skills, her apologies or her cries in the answer choices on the script.",,1,,1,,,,
1eNRgAiXWD0,q2,yes,a0,,,"\""You want mild or wrath of God?\"" asked The woman, to which he replied \""I don't want wrath of God\"".",,,,,,,36,43
1eNRgAiXWD0,q3,yes,a3,,,"I don't know if he actually replaced the plate, but from the context of his choice of sauce, I can assume it was because the wrong one was placed in front of him.",,,,,,,36,59
1eNRgAiXWD0,q4,yes,a3,,,"I don't know if he actually replaced the plate, but from the context of his choice of sauce and his asking her what she wanted, we can assume it was because something different than what he originally wanted was placed in front of him.",,,,,,,4,27
1eNRgAiXWD0,q5,no,,,,Because there is insufficient material in the script in the first place to determine whether he believes her or not.,1,,,,,,,
1prGsuIPVog,q1,yes,a1,,,The word 'messy' indicates that she thinks eating tacos will make a mess in the car.,,,,,,,44,45
1prGsuIPVog,q2,yes,a0,,,"\""No one ever asks me what's happening in my life.\"" and the exclamation \""aww\"" suggest that she is happy that the other person is asking about her life for the first time.",,,,,,,12,14
1prGsuIPVog,q3,no,,,,Because I can't find any mention of why these women are eating tacos in their cars.,1,,1,,1,,,
1prGsuIPVog,q4,no,,,,"Because she does not display any gratitude for giving me a ride to the airport, and I cannot read her emotions.",,,1,,1,,,
1prGsuIPVog,q5,yes,a2,,,"She is in a situation where she can't find the exit to drive to the airport, and has stated that driving to the airport is \""pretty bad\"".",,,,,,,48,61
1uw20slrGZw,q1,no,,,,"She reacted differently than he expected, but that is not enough to determine how he felt about it.",,,1,,1,,,
1uw20slrGZw,q2,yes,a3,,,"She did not refuse to let him match her with her parents, and because he promised her a movie at the end of the day.",,,,,,,16,19
1uw20slrGZw,q3,no,,,,I can't tell from the script because I don't know her demeanor or expression as she listens to him and she doesn't explicitly state what she thinks of him.,,,1,,1,,,
1uw20slrGZw,q4,no,,,,"In the first place, it is impossible to determine which speaker is the woman in red jacket, and furthermore, her actions and facial expressions are not specified.",,1,1,,1,,,
1uw20slrGZw,q5,no,,,,"In the first place, it is impossible to determine which speaker is The person in red jacket and which speaker is the person in beige jacket, and furthermore, the action \'since\' of the former cannot be confirmed in the script.",,1,,1,,,,
1uw20slrGZw,q6,yes,a1,,,"It is not clear whether he smiled happily or not, but we can assume that he is pleased because we get a response that is contrary to what we expected and he has already started thinking about what he will eat.",,,,,,,0,29
1YMyCKKNOG8,q1,no,,,,"Because it is not clear which part of the conversation the question indicates, and her feelings are not specified.",1,,1,,1,,,
1YMyCKKNOG8,q2,yes,a3,,,"Having children is generally a joyous occasion, and we think she means well, saying she can't believe she is going to be a grandmother.",,,,,,,41,43
1YMyCKKNOG8,q3,yes,a2,,,"The context is that the younger woman is about to have a child, and one senses a warm atmosphere.",,,,,,,0,60
1YMyCKKNOG8,q4,no,,,,Because it is not clear from the script alone which part of the dialogue she is putting her hand on her face.,,1,1,1,,,,
1YMyCKKNOG8,q5,no,,,,"He says \""what the hell\"" and that he spends his day every day cleaning out Amazon boxes, but it's impossible to tell if he's not annoyed or just really pissed off.
",,,1,,1,,,
1Za8BtLgKv8,q1,no,,,,Because there is no confirmation that she is singing and no way to read her feelings of confidence or otherwise.,,,1,1,1,,,
1Za8BtLgKv8,q2,no,,,,"The script alone is not enough to read the overall mood, and \""be one's bitch\"" can be interpreted without a negative meaning depending on the situation.",1,,1,,,,,
1Za8BtLgKv8,q3,yes,a1,,,Because the context suggests that she is moving as he tells her to.,,,,,,,33,59
1Za8BtLgKv8,q4,no,,,,"She is the judge of whether his instructions are good or bad, but they are not clearly indicated.",,,1,,1,,,
1Za8BtLgKv8,q5,no,,,,"Similar to the issue above, because her evaluation of his instructions are not specified.",,,1,,1,,,
2NE4KCCfutk,q1,yes,a2,,,"In context \'the woman in the polka dot shirt\' is probably the facilitator of the video, since she is in a position to control the flow of the video.",,,,,,,0,21
2NE4KCCfutk,q2,yes,a1,,,"Because the speaker, who is considered the facilitator of the program, has indicated that the video must be kept longer.",,,,,,,29,33
2NE4KCCfutk,q3,no,,,,\'The woman in the white shirt\' because I cannot determine which speaker it is.,,1,,,,,,
2NE4KCCfutk,q4,yes,a1,,,"She is considered to be in the position of facilitator of the program, based on the context in which she is considered to be connecting the greeting phrase and other relay destinations.",,,,,,,0,21
2NE4KCCfutk,q5,no,,,,"In the first place, it is impossible to determine which speaker \'the man in the red tie\' is.",,1,,,,,,
2qLtqZOlSEg,q1,no,,,,Because it is not possible to read the actions and emotions in the answer choices on the script.,,,1,1,1,,,
2qLtqZOlSEg,q2,yes,a0,,,"\""You can really cook?\"" because she doubts his cooking ability.",,,,,,,14,15
2qLtqZOlSEg,q3,no,,,,"The script does not express tone of voice and facial expressions, which are materials for reading emotions.",,,1,,1,,,
2qLtqZOlSEg,q4,no,,,,Because I do not know at what point in the script and conversation she clapped her hands.,1,,,,,,,
2qLtqZOlSEg,q5,no,,,,Because I don't know at what point in the script and in the conversation she spread her hands and fingers.,1,,,,,,,
2ZkzLAQszHA,q1,yes,a0,,,From the word \'quarterback\' we can assume they are talking about some kind of sport.,,,,,,,6,12
2ZkzLAQszHA,q2,no,,,,Because it is impossible to determine in which part of the process the two people show their excitement.,1,,,,,,,
2ZkzLAQszHA,q3,yes,a3,,,His analysis of the various records suggests that he thinks this makes sense.,,,,,,,0,43
2ZkzLAQszHA,q4,no,,,,None of the answers address the question.,1,,,,,,,
2ZkzLAQszHA,q5,no,,,,"It is impossible to determine at what part of the conversation and script he started speaking louder, because it is impossible to determine",1,,,,1,,,
3wIejfT9l30,q1,yes,a0,,,"He is saying the opposite of what he was doing before, so we can assume that he was thinking about saying \""uhhh\"" in between.",,,,,,,49,55
3wIejfT9l30,q2,no,,,,Because we cannot read from the context of the script to see in which situations she shows her trust in him.,1,,,,,,,
3wIejfT9l30,q3,yes,a1,,,Because you are asking him what he thinks of the \'lip sync battle\' against him.,,,,,,,39,48
3wIejfT9l30,q4,no,,,,Because the answer choices cannot be determined to be correct based on the information on the script alone.,,1,1,,1,,,
3wIejfT9l30,q5,no,,,,"From the script, it is impossible to read how he is reacting to the interview.",,,1,1,1,,,
3wIejfT9l30,q6,no,,,,Only on the script did it say he was bitten.,1,,,1,,,,
3wIejfT9l30,q7,no,,,,"Because we could not read her emotions from the script alone, we could not understand her facial expressions, etc.",,,1,,1,,,
3wIejfT9l30,q8,no,,,,"Because his behavior, whether he is sweating or not, does not appear in the script, and he does not express any emotion, such as looking bored.",,,1,1,1,,,
3wIejfT9l30,q9,no,,,,Because I do not see any expression of confidence in him from the information in the script alone.,,,1,,1,,,
3wIejfT9l30,q10,yes,a0,,,"In an interview he stated that he could sleep anywhere, and it is believed that he was trying to embody this.",,,,,,,29,31
3wIejfT9l30,q11,yes,a2,,,The relationship between the interviewer and the interviewee makes it a neutral relationship.,,,,,,,19,31
3wIejfT9l30,q12,no,,,,Her reaction when he said he was bitten is because the script's are not expressed.,,,1,,1,,,
3wIejfT9l30,q13,yes,a3,,,Because the context and the question and answer indicate that he was pretending to doze off as he was being interviewed.,,,,,,,19,59
3wIejfT9l30,q14,no,,,,Her reaction when he said he would sleep anywhere is because the script is not expressed.,,,1,,1,,,
3wIejfT9l30,q15,no,,,,Her reaction when he is sleeping is because the script's are not expressed.,,,1,,1,,,
3wIejfT9l30,q16,yes,a1,,,The fact that he is reversing what he has done before or trying a new style of dance suggests that he is nervous.,,,,,,,39,59
3wIejfT9l30,q17,no,,,,Because it is unclear what part on the script she expressed surprise.,,,1,,1,,,
4AmVjblOvy4,q1,no,,,,Because I cannot confirm which part of the script she closed her eyes.,1,,,,,,,
4AmVjblOvy4,q2,no,,,,"On the script, she just points out their mistakes, because you can't read their emotions.",,,1,,1,,,
4AmVjblOvy4,q3,no,,,,Because it is unclear in which part of the script she pinched her nose.,1,,,,,,,
4AmVjblOvy4,q4,no,,,,"Because we could not identify Spanish in the script, and it is unclear at what point the brown-haired woman spoke Spanish.",1,,,,,,,
4AmVjblOvy4,q5,no,,,,"In the first place, it is unclear at what point in the script the women winked.",1,,,,,,,
4iw1jTY-X3A,q1,no,,,,"In the first place, it is impossible to determine which speaker is the shorter man in yellow, and his emotions are not readily apparent from the script.",,1,1,,1,,,
4iw1jTY-X3A,q2,no,,,,"Since there are three or more speakers in this conversation, it is impossible to determine which person is the man in purple and which person is the taller man in yellow hostile.",,1,,,,,,
4iw1jTY-X3A,q3,no,,,,Because there is no explicit part of his character on the script.,,1,,,,,,
4iw1jTY-X3A,q4,no,,,,It is impossible to determine which part of the script shocked the man in purple.,1,1,,,,,,
4iw1jTY-X3A,q5,no,,,,"It is believed that there is more than one man dressed in purple, and it is impossible to determine which of these men he is referring to.",1,1,,,,,,
4iw1jTY-X3A,q6,no,,,,"It is thought that there is more than one man dressed in yellow, but it is impossible to determine which of them he is referring to.",1,1,,,,,,
4iw1jTY-X3A,q7,yes,a3,,,"I am not sure if he was being explicitly sarcastic, since \'""strong move\'"" can also be interpreted as sarcasm.",,,,,,,51,52
4iw1jTY-X3A,q8,no,,,,"It is assumed that there are at least three men in this conversation, but it is impossible to determine which two of them it is.",1,,,,,,,
4iw1jTY-X3A,q9,no,,,,"The two yellow people have no idea what he thinks of him, because his facial expressions and tone of voice do not appear on the script at the time.",,1,1,,1,,,
4iw1jTY-X3A,q10,no,,,,"It is impossible to determine where in the script the part where the people in yellow entered in the first place, because it is impossible to determine where in the script.",1,,,,,,,
4iw1jTY-X3A,q11,no,,,,"It is believed that there is more than one man dressed in purple, and it is impossible to determine which of these men he is referring to.",1,1,,,,,,
4iw1jTY-X3A,q12,no,,,,"It is impossible to determine which of her utterances she is speaking, and because her facial expressions, etc., are not specified.",1,,1,,1,,,
4iw1jTY-X3A,q13,no,,,,"Perhaps Mr. White is applicable to this question, since it is unclear what color he is wearing.",,1,,,,,,
4iw1jTY-X3A,q14,yes,a2,,,"The fact that they speak to each other and call each other \'""pal\'"" suggests that they are on good terms, and when one says something sarcastic, the other calls it a joke.",,,,,,,48,55
4LGe265pwvU,q1,yes,a1,,,Because the flight attendant mistakenly thought he was a passenger who needed to board now.,,,,,,,42,53
4LGe265pwvU,q2,yes,a0,,,The last question indicates that he has negative feelings toward flight attendants.,,,,,,,50,53
4LGe265pwvU,q3,no,,,,Because I cannot determine which part on the script he was trying to put his hand out.,1,,,1,,,,
4LGe265pwvU,q4,no,,,,Because I cannot determine what part on the script he raised the tone of his voice.,1,,,,1,,,
4LGe265pwvU,q5,no,,,,Because it is impossible to determine which speaker is drinking coffee on the script.,1,1,,1,,,,
4Ry2bE-WRqA,q1,yes,a0,a2,,"I can tell that the people are friendly with each other, as they’re excited to see the test results and make funny jokes together.",,,,,,,2,52
4Ry2bE-WRqA,q2,no,,,,"The transcript doesn't provide any context about which man is wearing the hat, so I can't determine why he's excited.",,1,,,,,,
4Ry2bE-WRqA,q3,yes,a3,,,The numerous exclamation marks in the transcript suggest excitement.,,,,,,,35,52
4Ry2bE-WRqA,q4,yes,a1,,,"The man says, \""We found you on the doorstep,\"" but the other man completely disregards it. From this, I can infer that the first man wasn't serious about finding the other man on the doorstep.",,,,,,,14,19
4Ry2bE-WRqA,q5,no,,,,"The transcript doesn't provide any context about who the woman in black is, so I can't determine why she's laughing.",,1,1,,,,,
4wdeBJ39Cuw,q1,yes,a2,,,The woman fell into a shutdown state with a bit of hyperarousal due to her problem at the hotel.,,,,,,,6,21
4wdeBJ39Cuw,q2,no,,,,The transcript doesn't provide any information about whether the man is supportive of the woman or not.,1,,,,,Any information that might reveal the man's feelings.,,
4wdeBJ39Cuw,q3,no,,,,"The transcript doesn't state when the man shakes his head, so we cannot know the intention.",1,,1,1,,,,
4wdeBJ39Cuw,q4,yes,a1,,,"The woman says it's not the man's fault, so we can infer that her desire to punch him stems from her emotional shutdown.",,,,,,,31,45
4wdeBJ39Cuw,q5,yes,a3,,,"The woman feels good to be home because the hotel experience caused her to feel stressed and frustrated, so she is happy that she doesn't have to deal with that anymore.",,,,,,,6,24
4wdeBJ39Cuw,q6,no,,,,The transcript doesn't provide any information about whether the man is supportive of the woman or not.,1,,,,,Any information that might reveal the man's feelings.,,
4wdeBJ39Cuw,q7,yes,a3,,,The woman isn't upset with the man. I can tell that because she says it's not his fault in the transcript.,,,,,,,25,32
4wdeBJ39Cuw,q8,yes,a3,,,"The transcript suggests that the situation caused the woman to go into a state of shutdown due to stress, so I can tell that the woman was distressed when she was away.",,,,,,,14,21
4yr_etbfZtQ,q1,no,,,,I cannot tell the role of the blonde woman because the transcript doesn't provide information about who she is.,1,1,,,,,,
4yr_etbfZtQ,q2,yes,a0,,,"The woman explains the difference between the two wines because they have similar names and appearances, and she wants to clarify their distinctions.",,,,,,,0,13
4yr_etbfZtQ,q3,no,,,,I cannot tell the woman's opinion about the second wine as the transcript doesn't provide any information about it.,1,,,,,,,
4yr_etbfZtQ,q4,no,,,,"The transcript doesn't indicate when the woman stirring the pot looks towards the other lady, so it's impossible to infer why she does so.",1,1,1,1,,,,
4yr_etbfZtQ,q5,yes,a2,,,"I can tell the dynamic between the two women is friendly because the women talk to each other as if they were close friends, calling each other \”mate\”.",,,,,,,47,56
4yr_etbfZtQ,q6,yes,a1,,,"The woman says in the transcript that Italians are impatient and passionate, so I can infer that this is what she thinks of them.",,,,,,,23,27
4yr_etbfZtQ,q7,yes,a2,,,"The woman says the wine tastes like balls after drinking it, so I can tell that’s what she thinks of it.",,,,,,,38,46
4yr_etbfZtQ,q8,no,,,,"The transcript doesn't provide any information about the lady drinking the sweeter wine, so I cannot infer what she thinks of it.",1,,,,,,,
5bBEsyEGVDs,q1,no,,,,"The transcript doesn't provide any context about who the man in orange is or what will happen to him, so I cannot tell if he's scared.",1,1,1,1,1,,,
5bBEsyEGVDs,q2,no,,,,"The transcript doesn’t provide information about who the man in orange and the man in the suit are, so I cannot determine which one is more dominant.",,1,,,,,,
5bBEsyEGVDs,q3,no,,,,"The transcript doesn't provide any context to who the man in orange is, so I cannot determine his feelings.",,1,,,,,,
5bBEsyEGVDs,q4,no,,,,"The transcript doesn’t provide any context about who the man in the suit is, so I cannot determine why he stops speaking abruptly.",,1,,,,,,
5bBEsyEGVDs,q5,yes,a3,,,"The man who is chained is being provoked by the other man, so I can tell he is angry and pulls on the chains because he wants to break free from them.",,,,,,,10,45
5h-SslT--8E,q1,no,,,,"The transcript doesn’t provide any information about who is holding the camera, so I cannot determine how the boy feels about him.",1,1,,,,,,
5h-SslT--8E,q2,yes,a0,,,It is stated multiple times that the boy is upset after he finds out the dog is borrowed.,,,,,,,38,43
5h-SslT--8E,q3,no,,,,I cannot tell when the woman is smiling from the transcript.,,,1,,,,,
5h-SslT--8E,q4,yes,a2,,,The boy is sad because the dog is taken away from him.,,,,,,,26,39
5h-SslT--8E,q5,no,,,,It is unknown how the woman is feeling after taking the dog away from the boy.,,1,1,1,1,,,
6kYu7-5EyU8,q1,yes,a1,,,The woman states how curfew reduces juvenile crime only during curfew hours.,,,,,,,32,54
6kYu7-5EyU8,q2,yes,a1,,,They are debating whether imposing a curfew is beneficial or not.,,,,,,,2,54
6kYu7-5EyU8,q3,yes,a0,,,The woman thinks negatively about the idea of imposing a curfew.,,,,,,,32,54
6kYu7-5EyU8,q4,no,,,,The man doesn't state his opinion about curfews in the script.,,1,,,,,,
6kYu7-5EyU8,q5,no,,,,"There is no information in the script about who the host is, how he understands or agrees with Sophie Martin and who Sohpie martin is.",1,1,,,,,,
6kYu7-5EyU8,q6,no,,,,It is impossible to determine the tone of the man's speech from the script.,,,,,1,,,
6kYu7-5EyU8,q7,yes,a1,,,"The woman is confident in her opinion, providing actual data to support it.",,,,,,,32,54
6kYu7-5EyU8,q8,yes,a1,,,The man gives some background about the topic before asking the woman a question regarding it.,,,,,,,0,26
6kYu7-5EyU8,q9,no,,,,It is impossible to determine where in the script the woman starts speaking before the man is finished.,1,,,,,,,
6kYu7-5EyU8,q10,no,,,,It is impossible to know the man's attitude just by reading the script.,,,1,1,,,,
6kYu7-5EyU8,q11,yes,a2,,,The man is giving background information about curfew in Albuquerque City.,,,,,,,2,26
6kYu7-5EyU8,q12,no,,,,It is impossible to determine who the host is and how he explains and lines up the questions just by reading the script.,,1,1,1,1,,,
6kYu7-5EyU8,q13,no,,,,It is impossible to determine who Sophie Martin is just by reading the script.,1,,,,,,,
6kYu7-5EyU8,q14,no,,,,The script lacks the context to determine the relationship between the man and the woman.,1,,,,,,,
6kYu7-5EyU8,q15,yes,a2,,,The woman believes that imposing a curfew won't work and will only act as a Band-Aid.,,,,,,,32,54
6kYu7-5EyU8,q16,yes,a0,,,"The woman clearly disagrees with the man's suggestion by repeatedly saying \""no\"" in the transcript.",,,,,,,26,53
6kYu7-5EyU8,q17,no,,,,I cannot determine the woman's body language just by reading the transcrript.,,,1,1,,,,
6qIBzPrHoVk,q1,no,,,,The transcript lacks the context needed to understand why the woman smiles when she says she is sorry.,1,,1,,,,,
6qIBzPrHoVk,q2,yes,a3,,,The woman feels bad about her habit of eating off of everyone's plates.,,,,,,,9,14
6qIBzPrHoVk,q3,no,,,,It is impossible to determine why the woman's eyes widens just by reading the transcript.,1,,1,,,,,
6qIBzPrHoVk,q4,yes,a0,,,The woman thanks the man for being cool about the phone thing so it is clear that he doesn't care about it.,,,,,,,22,34
