video_name,question_id,if_you_can_answer,your_answer,your_answer_2,your_answer_3,reason,contents_of_conversation,scene_context,speaker's_information,facial_expression,motion,tone_of_voice,other_information,reference_time_start,reference_time_end
0B9VJfzqwhM,q2,yes,a2,,,"He expressed his eagerness to give her a big hug and a kiss, and his tone conveyed his excitement throughout.",1,,,,,1,,39,59
0B9VJfzqwhM,q3,yes,a1,,,"The boy in the striped shirt persistently attempted to crash his toy car into the other boys' cars, indicating that this seems to be their preferred play routine.",,1,,,1,,,30,36
0B9VJfzqwhM,q4,yes,a2,,,The boys responded affirmatively when their dad asked if they were excited about their mommy coming home.,1,,,,,,,44,47
0B9VJfzqwhM,q5,yes,a3,,,"The boy clearly stated, \""I am sad that Mommy is gone.\""",1,,,,,,,50,51
0g2o-CfakW0,q1,yes,a0,,,The woman kept a straight face and responded to the man's joke with a serious answer & tone.,1,,,1,,,,28,36
0g2o-CfakW0,q2,yes,a0,,,The woman pauses her sentence every time she needs to recall how the perpetrator looks.,1,,,,,1,,20,28
0g2o-CfakW0,q3,yes,a0,,,The man is asking details about the perpetrator and the attack.,1,,,,,,,0,59
0g2o-CfakW0,q4,no,,,,We do not know why the woman walks out of the room since the conversation & her moving to another room do not seem to correlate.,,,,,,,Anything that specify the woman's reasoning clearly.,,
0g2o-CfakW0,q5,yes,a0,,,"The man laughed after the woman answered \""no,\"" implying she does not find the man attractive.",1,1,,1,,1,,28,32
0GQ8pgQJShg,q1,yes,a1,,,The man does not stutter at all.,,,,,,1,,8,12
0GQ8pgQJShg,q2,yes,a0,,,"She responded with \""he did not say that\"" while laughing. This implies her disbelief.",1,,,,,1,,40,43
0GQ8pgQJShg,q3,yes,a2,,,"The woman states that she is only interested in the party if the man is also present, implying her disinterest in Dom or the party itself.",1,,,,,,,50,54
0GQ8pgQJShg,q4,yes,a0,,,"After correcting her answer according to the man's suggestion, she smiles & thanks him.",1,,,1,,,,8,25
0GQ8pgQJShg,q5,yes,a3,,,His facial expression suggests that he is infatuated with the woman.,,,,1,,,,0,59
0hCihQ5Kep0,q1,no,,,,The video does not describe what activity they are doing or the purpose of it at all.,,,,,,,Anything that describes what activity they are doing & the purpose of it.,,
0hCihQ5Kep0,q2,yes,a0,,,She is trying to tell the audience how much she loves speech-language pathology.,1,,,,,,,53,59
0hCihQ5Kep0,q4,yes,a2,,,He is doing an activity while smiling and laughing.,,,,1,1,,,6,9
0hCihQ5Kep0,q5,yes,a0,,,"Everyone in the video is trying to explain to the audience how great speech-language pathology is. Moreover, the video uses background music typically used for uplifting & inspirational scenes.",,,,1,,,,0,59
0hCihQ5Kep0,q6,yes,a0,,,"While trying to tell the audience how much she loves speech-language pathology, she smiles & gets emotional.",1,,,1,,,,53,59
0hCihQ5Kep0,q7,yes,a2,,,She states that she is happy & passionate about her profession.,1,,1,1,,,,19,30
0hCihQ5Kep0,q8,no,,,,The video does not describe what activity they are doing or the purpose of it at all.,,,,,,,Anything that describes what activity they are doing & the purpose of it.,,
0S5i79_1t8k,q1,yes,a0,,,"She raises her voice when she asks him why he comes to her house. Furthermore, she is using a swear word in her sentence.",1,,,,,1,,2,18
0S5i79_1t8k,q2,yes,a1,,,She shows her concern by asking the man about his bruises & sweat.,1,,,1,,,,4,28
0S5i79_1t8k,q3,yes,a1,,,"She is whispering when talking to the man, indicating that she does not want it to be known that he is there.",1,1,,,,1,,4,8
0S5i79_1t8k,q4,yes,a0,,,She tells her mom that she will be back in one minute while putting one finger up.,1,,,,,,,43,45
0S5i79_1t8k,q5,yes,a1,,,The man is clearly nervous after seeing the woman's negative reaction to him visiting her house.,1,,,,,1,,0,59
0SuGC2ifkIA,q1,no,,,,"It is unclear what the woman was reacting to in the video with her facial expression. It could be the other woman's speech, the menu, or the women's inaccuracy about the man's cultural background.",,,,,,,Anything that would help understand her true feelings.,,
0SuGC2ifkIA,q2,yes,a1,,,"The woman raises her voice when saying the rhetorical ""are you?"" towards the man and her expression suggests that she is displeased. ",,,,1,,1,,57,59
0SuGC2ifkIA,q3,yes,a3,,,The dark-haired woman looks at the blond woman with disgust when she explains the dish.,,,,1,,,,15,23
0SuGC2ifkIA,q4,yes,a1,,,He is confused by the blond woman's false introduction to the man's ethnic background & the dishes but he corrects her while smiling afterwards.,1,,,1,,1,,15,24
0SuGC2ifkIA,q5,no,,,,None of the answers is right. He is confused by the blonde woman mixing up his cultural background.,,,,,,,Better answer choices that reflect his feelings.,,
0X0H70JBnBM,q1,yes,a3,,,"The woman mentioned how he had been making the same remark for the past two years, and overall, they appeared to be at ease conversing with one another.",1,,,,,1,,43,45
0X0H70JBnBM,q2,yes,a2,,,"Immediately after saying \""stop,\"" she placed her hands on his chest to stop him and then crouched down to tie his shoelaces.",,,,,1,,,49,55
0X0H70JBnBM,q3,yes,a0,,,"The woman exudes confidence, evident in her tone, body language, and manner of speaking to him.",1,,,1,1,1,,0,59
0X0H70JBnBM,q4,yes,a1,,,"The man is clearly not surprised, maintaining a slight smirk on his face throughout the conversation.",,,,1,,,,40,46
0X0H70JBnBM,q5,yes,a2,,,"The man speaks to the woman in a teasing manner, also smirking throughout the conversation.",,,,1,,1,,23,49
0XPNvEJ0Xx4,q1,yes,a3,,,"Based on the content of the conversation, he keeps redirecting the discussion and tries to close off the venue to avoid further interaction, also walking away and avoiding eye contact.",1,,1,,1,,,0,59
0XPNvEJ0Xx4,q2,yes,a3,,,"The older man laughed with a snort, clearly finding the situation absurd, and he said \""sorry\"" in a dismissive manner.",1,,,1,,1,,30,34
0XPNvEJ0Xx4,q3,yes,a0,,,"The older man was genuinely surprised by the younger man's knowledge about him, and since the younger man wants to be trained by him, it is clear that he respects the older man's skills.",1,,,,,,,0,59
0XPNvEJ0Xx4,q4,yes,a1,,,The older man explicitly stated that Apollo is a perfect fighter and had nothing negative to say about him.,1,,,,,,,41,46
0XPNvEJ0Xx4,q5,yes,a3,,,"The older man is clearly dodging the conversation, seizing every opportunity to attempt to close up the store to avoid further discussion.",1,,,,,,,34,54
1a4Gx6UHdI8,q1,yes,a2,,,"Although the woman mentions they don't have much in common, the statement, \""Like, he doesn't really know from what you do,\"" is unclear, making it difficult to determine the reason. However, this is the closest answer choice.",1,,,,,,,40,49
1a4Gx6UHdI8,q2,yes,a2,,,"The woman said, \""No, I don't think he's doing a lot of the same stuff that I'm doing, I'll be honest.\"" This statement best summarizes her feelings about the man.",1,,1,,,,,35,38
1a4Gx6UHdI8,q3,no,,,,"While the woman in the suit reacts to the other woman, she does not speak much, and her reactions are not sufficient to provide a definitive answer.",More context regarding the man or the upcoming election is needed to fully understand the situation.,,,,,,,,
1a4Gx6UHdI8,q4,no,,,,"Both women's clothes can be seen as purple, making it difficult to distinguish between them based on their attire.",,,Clarity regarding the clothes.,,,,,,
1a4Gx6UHdI8,q5,no,,,,"Although it appears she is putting in more effort than the man, it remains unclear whether she likes cats.",More context regarding her cats or how she feels about them.,,,,,,,,
1CjUHNYzW1E,q1,yes,a2,,,"The older man is praising the child, and his tone clearly indicates that he is proud of him.",1,,,,,1,,10,26
1CjUHNYzW1E,q2,yes,a0,,,"The boy speaks in a way that engages the crowd, using a loud, clear voice and assertive hand gestures.",,,,,1,1,,0,10
1CjUHNYzW1E,q4,yes,a1,,,"The listeners were intently focused on his speech, and it is evident from the content that he made no mistakes or stuttered.",1,1,,1,,,,0,10
1CjUHNYzW1E,q5,yes,a0,,,"Although ""like"" may seem too mild a term for the boy's admiration for God, it is the best answer choice, as he does not mention anything about pursuing the job.",1,,,,,1,,27,59
1dd_Xic3lLc,q1,yes,a0,,,The woman in the beige coat appeared nervous at first but seemed relieved when the possibility of an internship or subbing was mentioned. It is evident that the woman in the purple sweater holds the dominant position due to her role at the beige woman's potential workplace.,1,1,1,1,,,,0,28
1dd_Xic3lLc,q2,yes,a3,,,"The woman in the beige coat appeared amusingly surprised when the other woman mentioned the free candy in limos, reacting with a playful surprise.",,1,1,1,,1,,47,58
1dd_Xic3lLc,q3,no,,,,"She inquired about the personal music career of the woman in the beige coat, which could be considered inappropriate in a professional setting. However, since it appeared to be a casual conversation, none of the answer choices accurately reflect the conversation.",,,,,,,"In this case, the answer choices are inadequate, as well as the question itself, since it does not specify who might find the question appropriate or not.",,
1dd_Xic3lLc,q4,yes,a3,,,"Based on her remarks, the woman in the purple sweater appeared to be a fan of the other woman and seemed genuinely curious about the limousine, rather than jealous.",1,,1,,,1,,35,39
1dd_Xic3lLc,q5,yes,a3,,,"She maintains a passive body posture and strong eye contact with the woman in the purple sweater, trying to be polite when answering her questions.",,,1,1,1,1,,28,59
1eNRgAiXWD0,q1,no,,,,"From the context, it is clear that the woman was worked up about something, but it is not evident whether she shouted at him. While the man was also surprised by the woman's apology, this comes later in the video.",More information on the background leading up to this scene is needed.,,,,,,,,
1eNRgAiXWD0,q2,yes,a0,,,"The man asked for the other sauce, which happens to be the milder one.",1,,,,,,,40,44
1eNRgAiXWD0,q3,no,,,,"Although the man wasn’t happy and seemed skeptical of the woman, there is not enough information to conclusively determine whether he was afraid of being poisoned or if the wrong plate was placed in front of him.",Either a verbal remark or some insight into the man's thoughts would help.,,,,,,,,
1eNRgAiXWD0,q4,yes,a1,,,"While she does apologize to the man, her tone conveys a sense of passive aggressiveness.",,,,,,1,,0,59
1eNRgAiXWD0,q5,yes,a3,,,"The man continues to display a skeptical expression, raising his eyebrows, and there is a palpable sense of tension in the air. He also ends up asking her what she wants from him.",1,,,1,,1,,0,59
1prGsuIPVog,q1,yes,a1,,,The woman in white explicitly mentioned that eating tacos is not a good idea because the taco she is eating is messy.,1,,,,,,,41,45
1prGsuIPVog,q2,yes,a0,,,"The woman in purple seemed flattered by the way she responded with \""aww\"" and mentioned that no one had ever asked her that before.",1,,,1,,1,,10,14
1prGsuIPVog,q3,yes,a1,,,"From the content of the conversation, it is clear that they are taking their time to catch up and are neither rushed nor lost.",1,,,,,,,0,59
1prGsuIPVog,q4,no,,,,"The woman in white appeared confused by her reactions, and it is unclear how the woman in purple feels; she seemed to be acting randomly.",,,,,,,Anything that would help understand her true feelings or intentions.,,
1prGsuIPVog,q5,yes,a2,,,"Although the video cuts off prematurely, she wasn't smiling as much when she discussed her experience.",,,,1,,,,54,58
1uw20slrGZw,q1,yes,a1,,,"The man was making an effort to conceal his happiness, but it seems he was caught off guard by her immediate affirmative response.",,,,1,,,,16,24
1uw20slrGZw,q2,yes,a3,,,"They are clearly in the early, happy phase of dating and both seem to have feelings for each other.",,1,,1,,1,,33,59
1uw20slrGZw,q3,yes,a1,,,Her tone and the warmth of her eye contact with the man clearly indicate that she is romantically attracted to the man,,,,1,,1,,0,59
1uw20slrGZw,q4,yes,a1,,,Her facial expression and the content of her conversation clearly indicate that she is smiling and joking with the man.,1,,,1,,,,0,59
1uw20slrGZw,q5,yes,a1,,,"From her tone and facial expression, it seems as though she was waiting for a while for him to finally ask her out.",1,,,1,,1,,0,24
1uw20slrGZw,q6,yes,a1,,,"The man appears shy based on his facial expression and tone, but he couldn’t conceal his happiness when she said yes.",,,,1,,1,,25,27
1YMyCKKNOG8,q1,yes,a0,,,"Although the video cuts off prematurely, she clearly laughs it off without displaying any other expressions.",,,,1,,,,50,60
1YMyCKKNOG8,q2,yes,a1,a3,,"The older woman's tone and expressions indicate she is in an exceptionally good mood, as she even speaks in a sing-song manner at one point.",,,,1,,1,,0,59
1YMyCKKNOG8,q3,yes,a0,,,"The atmosphere in the room is lighthearted due to the constant laughter and sarcastic jokes. Moreover, everyone's expressions and tone suggest that they are happy and excited.",1,1,,1,,1,,0,59
1YMyCKKNOG8,q4,yes,a0,,,"By stretching her face with her hands, she is trying to create her best impression of an alien face.",,,,1,1,,,3,6
1YMyCKKNOG8,q5,yes,a2,,,"He remarks about having to break down all the Amazon boxes, but his tone is sarcastic, indicating that he doesn't really mind the task.",1,,,,,1,,28,31
1Za8BtLgKv8,q1,yes,a1,,,"Although it is unclear which specific words the question refers to, overall, the girl speaks in a sarcastic tone and responds in a joking manner.",1,,,,,1,,0,59
1Za8BtLgKv8,q2,yes,a3,,,"Based solely on the content of the video, it can be inferred that they have a joking relationship, although there could be more to it that the video does not convey.",1,,,1,,1,,0,59
1Za8BtLgKv8,q3,no,,,,"Based on the man's verbal cues, tone, and body language, it is evident that the interaction is lighthearted and joking. Therefore, none of the answer choices accurately reflect the scene.",,,,,,,"The question can be answered, but none of the choices seem to accurately reflect his feelings.",,
1Za8BtLgKv8,q4,yes,a3,,,"From a common-sense perspective, telling someone to refer to others as their \""bitch\"" is seen as inappropriate.",1,,,,,,,33,59
1Za8BtLgKv8,q5,yes,a1,,,"The girl makes a hesitant facial expression, and given the context of joking, her manner of speaking suggests she is not serious.",1,,,1,,1,,39,59
2NE4KCCfutk,q1,yes,a2,,,"This video is clearly from a comedy show, and she is trying to act nervous for comedic effect.",,1,,,,,,42,59
2NE4KCCfutk,q2,no,,,,None of the answer choices accurately explain the reason for the people’s frantic behavior at the beginning of the video.,,,,,,,Better answer choices that reflect the actual scene.,,
2NE4KCCfutk,q3,no,,,,"The woman in white is participating in a comedy skit, and none of the answer choices accurately reflect the conversation taking place in the video.",,,,,,,Better answer choices that reflect the actual scene.,,
2NE4KCCfutk,q4,no,,,,There is no woman with a polka dot shirt at the beginning of the video.,,,,,,,Better answer choices that reflect the actual scene.,,
2NE4KCCfutk,q5,yes,a3,,,"Based on his tone, body language, and attire, the man appears to be doing an excellent job embodying his character for the comedy show.",,,1,1,1,1,,13,21
2qLtqZOlSEg,q1,yes,a3,,,"Considering the setting and their interactions, including body language and casual demeanor, it is evident that they are in a romantic relationship.",,1,,,1,1,,0,59
2qLtqZOlSEg,q2,yes,a3,,,"She says, \""You can really cook?\"" in a teasing manner, and her tone suggests she is amused.",,,,1,,1,,14,15
2qLtqZOlSEg,q3,yes,a1,,,"Throughout the video, both the woman and the man display playful and slightly sarcastic behavior in a teasing manner, which is evident in their expressions and body language.",1,,,1,1,1,,0,59
2qLtqZOlSEg,q4,yes,a3,,,"She did not expect him to suddenly bring out waffles from his fridge, so it was a pleasant surprise based on her reaction and the clapping.",1,1,,1,1,1,,42,52
2qLtqZOlSEg,q5,yes,a2,,,"She points at the sticker that says \""My son goes to an Ivy League school\"" to ask who it refers to.",,1,,,1,,,18,21
2ZkzLAQszHA,q1,yes,a0,,,Because based on the conversation this is the only relevant choice.,1,1,,,,,,0,59
2ZkzLAQszHA,q2,yes,a3,,,Because he appears determined to prove he is right by presenting his arguments and stopping others from interrupting.,1,,1,,,1,,0,59
2ZkzLAQszHA,q3,yes,a3,,,"Because he is talking loudly and confidently, stating facts with an assertive attitude.",1,,1,,1,1,,0,59
2ZkzLAQszHA,q4,yes,a1,,,"Because his tone clearly suggests that he believes his argument is superior, though he did not explicitly state that it is the only valid one.",1,,1,,,1,,0,59
2ZkzLAQszHA,q5,yes,a3,,,Because he clearly began speaking louder as the others attempted to interrupt him.,,,1,,,1,,27,59
3wIejfT9l30,q1,yes,a0,,,"Saying /""uhhh/"" and staring into the air is a typical filler used by someone who is thinking about what to say or do next while they gather their thoughts.",1,,,1,1,1,,52,54
3wIejfT9l30,q2,yes,a2,,,"This scene clearly takes place in a comedy or entertainment show, and she is making an effort to continue the conversation and keep pace with the man.",1,1,,,,1,,0,40
3wIejfT9l30,q3,yes,a0,,,"Although the woman makes sounds of agreement, like \""wow,\"" throughout the conversation, it may not reflect her true feelings since it is a comedy show. ",1,1,,,,1,,0,40
3wIejfT9l30,q4,no,,,,"There are two men on the right throughout the video, making it unclear which one the question is referring to. Additionally, neither of them appears particularly nervous.",,,Clarity regarding the attire or features of the man rather than just positioning would help identify which one the question is referring to.,,,,,,
3wIejfT9l30,q5,yes,a0,a1,,The crossed-arm posture and tone suggest that the man being interviewed exudes self-confidence.,,,,,1,1,,42,59
3wIejfT9l30,q6,yes,a3,,,"Given the context of an entertainment show, he was most likely not actually bothered but rather making up a story for comedic effect.",,1,,,,,,0,2
3wIejfT9l30,q7,yes,a1,,,"Among the available choices, ""amused"" best captures her reaction, as the man skillfully played along with her previous comment.",,1,,1,1,,,31,36
3wIejfT9l30,q8,yes,a1,,,"Given that he is a famous actor, his calm and collected demeanor during the interview is evident, as shown by his posture.",,,1,,1,,,44,59
3wIejfT9l30,q9,yes,a1,a3,,"As previously mentioned, the crossed-arm posture and tone imply that the man being interviewed radiates confidence.",,,,,1,1,,42,59
3wIejfT9l30,q10,yes,a0,,,"Given the context and the prior conversation, it is evident that he is pretending to fall asleep to provoke a humorous response from the woman and entertain the audience.",1,1,,,,,,29,30
3wIejfT9l30,q11,yes,a1,,,"Based solely on the short video, they appear to be friendly with one another, maintaining a good tempo in their conversation, as also evidenced by their tone and expressions.",,,,1,,1,,0,40
3wIejfT9l30,q12,yes,a3,,,"Saying \""oh?\"" while opening the eyes wide generally indicates surprise.",,,,1,,1,,0,3
3wIejfT9l30,q13,yes,a3,,,"She is pretending to try to wake up the seemingly sleeping man to engage the audience, based on the context.",,1,,,1,,,33,35
3wIejfT9l30,q14,yes,a2,a3,,The woman’s smile while mentioning him falling asleep everywhere suggests she finds it amusing.,1,,,1,,,,17,19
3wIejfT9l30,q15,no,,,,"None of the answer choices accurately capture her true feelings, as they are most likely following a skit for a comedy show.",,,,,,,Better answer choices that reflect the actual scene.,,
3wIejfT9l30,q16,yes,a0,,,"He clearly stated that he felt unwell in the morning, but now he is feeling pretty good.",1,,,,,,,49,52
3wIejfT9l30,q17,yes,a0,,,She reacted with surprise immediately after he said he got bitten.,1,,,1,,1,,1,3
4AmVjblOvy4,q1,no,,,,"The blonde girl was reliving the sensory experience and describing it to the other girl, but none of the answer choices accurately reflected this.",,,,,,,Better answer choices that reflect the actual scene.,,
4AmVjblOvy4,q2,yes,a1,,,"The blonde girl made an exaggerated confused face and said, \""That's not the twist,\"" indicating she was expecting her to talk about the twist.",1,,1,1,,,,46,48
4AmVjblOvy4,q3,yes,a2,,,"After pinching her nose, she said, \""How do you drink that with such ease?\"" implying that she found the alcohol too strong for her.",1,,1,,1,,,0,5
4AmVjblOvy4,q4,yes,a0,,,"She burst out laughing right after saying, \""That's really rude,\"" indicating that she was being playful.",1,,,1,,,,13,14
4AmVjblOvy4,q5,yes,a1,,,"The wink suggests there's an inside joke about drinking between them, and they're clearly enjoying themselves.",,,,1,,,,30,31
4iw1jTY-X3A,q1,no,,,,"The shorter man in yellow is present in the video but does not say or do anything, so it is difficult to answer the question accurately.",,,,,,,Better question that reflects the actual scene.,,
4iw1jTY-X3A,q2,yes,a3,,,"In the context of an entertainment show, it’s likely that genuine feelings are not deeply involved between the two men, as their interactions are probably more focused on entertainment and performance.",1,1,,,,1,,47,55
4iw1jTY-X3A,q3,yes,a1,,,"White exhibits an arrogant tone, posture, and language throughout the video.",1,,,1,1,1,,0,59
4iw1jTY-X3A,q4,yes,a0,a3,,"The man in purple clearly did not anticipate the unexpected entrance, his face registering surprise as he heard the door open. He then quickly turned his head, his eyes widening upon seeing the man in yellow.",,,1,1,1,,,42,50
4iw1jTY-X3A,q5,yes,a1,,,"He initially widened his eyes to appear surprised but maintained his previous arrogant posture and composure, as also reflected in his tone.",,,,1,1,1,,42,50
4iw1jTY-X3A,q6,yes,a0,,,"The man in yellow clearly exudes confidence, evident from his purposeful walk, sharp eye contact, and the presence of two people accompanying him.",,1,,1,1,,,43,50
4iw1jTY-X3A,q7,yes,a0,,,"Instead of just hinting at sarcasm, he fully embraces it, responding with an exaggerated facial expression and animated speech.",1,,,1,,1,,53,55
4iw1jTY-X3A,q8,yes,a1,,,"Given the context of an entertainment show, it’s clear that neither of the men is genuinely affected by any of the comments made.",,1,,,,,,45,55
4iw1jTY-X3A,q9,no,,,,"Although Kate ignored White's comment, it’s impossible to draw any conclusions about the shorter man in yellow since he neither spoke nor acted.",,,,,,,Any extra details that might reveal the feelings of the shorter man in yellow towards the man in purple.,,
4iw1jTY-X3A,q10,no,,,,"Based on the scene context, they all appear serious to create a sense of tension for the audience, and none of the answer choices reflect this accurately.",,,,,,,Better answer choices that reflect the actual scene.,,
4iw1jTY-X3A,q11,yes,a3,,,"Although it’s part of the act, he appears startled by the sudden entrance and turns around.",,,,1,1,,,42,43
4iw1jTY-X3A,q12,yes,a1,,,"Not only does the woman in yellow stand against him, but she also deliberately looks away and makes a face as if she’s holding back a sigh.",,,,1,1,,,57,59
4iw1jTY-X3A,q13,no,,,,"In this situation, the man in yellow clearly appeared more dominant. However, his comments about the woman in yellow shifted the balance of power, making it difficult to determine the overall dynamics.",,,,,,,Better question that reflects the actual scene.,,
4iw1jTY-X3A,q14,yes,a2,,,"Given the context of comedy, the tone and content of the comment about making a strong move were clearly intended to be sarcastic.",1,1,,,,1,,50,52
4LGe265pwvU,q1,yes,a1,,,"The man with the blue computer bag is clearly annoyed, as indicated by his raised voice, frantic hand gestures, and an upset expression.",,,,1,1,1,,43,53
4LGe265pwvU,q2,yes,a0,,,"Based on common sense, it is quite absurd to determine the boarding order by distinguishing between blue suitcases and computer bags, so he took it personally.",,1,,,,,,43,53
4LGe265pwvU,q3,yes,a2,,,"The man, upset about the boarding order and feeling provoked by being pushed, extended his hand to draw attention to her while making an inappropriate and stereotypical comment.",,,,1,1,1,,14,16
4LGe265pwvU,q4,yes,a0,,,"The man was clearly irritated by the absurd boarding order and was tired of the situation, as evidenced by his hand gestures and aggressive look towards the flight attendant.",,,,1,1,1,,52,54
4LGe265pwvU,q5,no,,,,He seems to be taking extra time to drink his coffee as a way to further irritate the other man.,,,,,,,Better answer choices that reflect the actual scene.,,
4Ry2bE-WRqA,q1,yes,a0,a2,,"The consistent smiles, laughter, and jokes throughout the video suggest a lighthearted and friendly atmosphere between them.",1,,,1,,1,,0,59
4Ry2bE-WRqA,q2,yes,a1,,,"Based on the conversation and context, it is clear that he is about to check his ancestry DNA results.",1,1,,,,,,8,11
4Ry2bE-WRqA,q3,no,,,,"The closest choice is a3, but since learning what they are doing doesn't fit the context, none of the answers are valid choices.",,,,,,,Better answer choices that reflect the actual scene.,,
4Ry2bE-WRqA,q4,yes,a1,,,"Based on the context and the straight face the man in brown made, it was clearly a joke, which is also evident from the reaction of the other man.",,1,,1,,1,,15,19
4Ry2bE-WRqA,q5,yes,a2,,,"Although it appears that she was laughing at a joke she made herself, everyone was laughing continuously throughout the entire video.",,,,1,,1,,41,44
4wdeBJ39Cuw,q1,yes,a2,,,"Choice a0 is also accurate, but since the question does not specify the timing, a2 is more precise.",1,1,,,,,,0,59
4wdeBJ39Cuw,q2,yes,a1,,,"Although the man is seen standing in the background throughout the entire video, he occasionally smiles, nods, and responds positively with \""Which is fine.\""",1,,,1,1,,,0,59
4wdeBJ39Cuw,q3,yes,a1,,,"Since his reaction followed the woman’s statement, \“has nothing to do with Seth,\” he was affirming what she said.",1,,,,1,,,31,33
4wdeBJ39Cuw,q4,yes,a1,,,"As the woman explained during her talk, it was just a natural reaction to let her frustration out.",1,,,,,,,39,47
4wdeBJ39Cuw,q5,yes,a3,,,"As the woman talked about her experience, she mentioned trying to leave or find another hotel, implying that she didn't like the environment.",1,1,,,,,,0,24
4wdeBJ39Cuw,q6,no,,,,"Although it is clear that he wants to support her, his expressions and speech during the video are not sufficient to conclude whether he intends to help her or is simply worried for her.","To grasp his deeper thoughts, additional speech from him is required beyond just his support.",,,,,,,,
4wdeBJ39Cuw,q7,yes,a3,,,"Since she clearly stated that it \""has nothing to do with Seth,\"" choice a3 is the most appropriate answer.",1,,,,,,,31,32
4wdeBJ39Cuw,q8,yes,a3,,,"Based on her speech and tone, it’s clear she was distressed by the situation she was dealing with while she was away.",1,,,,,1,,0,59
4yr_etbfZtQ,q1,yes,a1,,,"While she maintains a neutral tone for most of the video, her remarks about her dad and the wine’s taste are delivered sarcastically.",1,,,,,1,,0,59
4yr_etbfZtQ,q2,yes,a2,,,"Based on the context of a cooking show, it seems like she is educating the audience about the difference between the two wines.",1,1,,,,,,0,46
